Frame_Pair,MSE,Inverse SSIM,LPIPS
171_vs_172,33.640348,0.033911,0.016765
172_vs_173,24.595336,0.028541,0.015456
173_vs_174,27.144670,0.039522,0.015943
174_vs_175,38.892160,0.057537,0.019374
175_vs_176,34.869702,0.049098,0.017110
176_vs_177,20.128028,0.025638,0.012552
177_vs_178,6.319337,0.008737,0.005381
178_vs_179,4.282526,0.006911,0.004339
179_vs_180,5.662782,0.006859,0.004532
180_vs_181,17.869490,0.011655,0.006696
181_vs_182,42.719910,0.028255,0.013679
182_vs_183,67.984042,0.037860,0.015310
183_vs_184,93.797934,0.042702,0.019769
184_vs_185,108.955016,0.041804,0.022136
185_vs_186,109.215597,0.039132,0.021282
186_vs_187,97.838480,0.038781,0.019197
187_vs_188,106.315084,0.056210,0.027255
188_vs_189,103.706102,0.054632,0.026577
189_vs_190,106.491286,0.052529,0.031059
190_vs_191,109.740454,0.060616,0.031532
191_vs_192,102.381634,0.064413,0.027250
192_vs_193,90.136326,0.053785,0.024743
193_vs_194,77.330806,0.042814,0.020807
194_vs_195,75.739308,0.038585,0.020190
195_vs_196,87.793745,0.042490,0.022877
196_vs_197,103.325106,0.052373,0.025000
197_vs_198,99.254207,0.051504,0.023521
198_vs_199,96.047615,0.045542,0.022396
199_vs_200,100.953892,0.040096,0.019982
200_vs_201,130.832655,0.059258,0.028503
201_vs_202,157.537491,0.077079,0.033730
202_vs_203,127.766184,0.052079,0.026920
203_vs_204,95.297638,0.034942,0.020483
204_vs_205,87.421538,0.050140,0.022738
205_vs_206,83.428458,0.043168,0.020843
206_vs_207,82.048507,0.034930,0.017518
207_vs_208,75.579332,0.027139,0.014743
208_vs_209,67.412699,0.025010,0.013279
209_vs_210,56.455085,0.023549,0.012443
210_vs_211,45.584486,0.027349,0.015601
211_vs_212,38.099630,0.029394,0.014333
212_vs_213,37.526780,0.042740,0.017908
213_vs_214,49.097217,0.073790,0.023550
214_vs_215,61.814520,0.085731,0.026127
215_vs_216,78.496172,0.091288,0.025439
216_vs_217,90.601650,0.092283,0.028223
217_vs_218,80.897360,0.083495,0.026572
218_vs_219,79.522675,0.065832,0.023204
219_vs_220,92.092839,0.061119,0.022571
220_vs_221,115.966993,0.081472,0.030094
221_vs_222,156.580473,0.099860,0.034573
222_vs_223,195.041711,0.103222,0.037309
223_vs_224,206.984523,0.096470,0.037299
224_vs_225,151.916157,0.087027,0.039060
225_vs_226,115.634583,0.083864,0.036607
226_vs_227,91.427510,0.069838,0.032249
227_vs_228,70.708071,0.054538,0.026410
228_vs_229,86.275841,0.069490,0.046221
229_vs_230,88.182923,0.050806,0.026084
230_vs_231,103.404794,0.054558,0.024904
231_vs_232,125.044573,0.070553,0.029302
232_vs_233,140.530043,0.074071,0.030383
233_vs_234,143.419129,0.066733,0.029579
234_vs_235,134.483034,0.056475,0.024716
235_vs_236,90.848003,0.043326,0.021457
236_vs_237,72.133390,0.044034,0.021403
237_vs_238,96.258497,0.076146,0.030740
238_vs_239,106.365542,0.094958,0.034033
239_vs_240,112.154248,0.084281,0.036238
240_vs_241,85.486261,0.058505,0.027568
241_vs_242,81.032711,0.058880,0.023473
242_vs_243,110.469651,0.080989,0.029533
243_vs_244,118.595137,0.100663,0.032646
244_vs_245,119.510078,0.109046,0.035288
245_vs_246,166.739340,0.129807,0.038388
246_vs_247,179.314811,0.115662,0.040371
247_vs_248,179.023290,0.100523,0.039639
248_vs_249,199.922578,0.114936,0.043341
249_vs_250,189.107470,0.120708,0.047799
250_vs_251,180.951835,0.131853,0.045446
251_vs_252,144.240523,0.136664,0.043703
252_vs_253,158.786474,0.154990,0.045299
253_vs_254,140.700841,0.163703,0.042480
254_vs_255,141.911885,0.165830,0.045422
255_vs_256,159.114696,0.168125,0.044737
256_vs_257,150.538716,0.172474,0.041916
257_vs_258,137.281148,0.168599,0.041784
258_vs_259,133.017243,0.146333,0.039719
259_vs_260,119.517872,0.106270,0.037311
260_vs_261,91.771533,0.090910,0.029827
261_vs_262,83.804859,0.110711,0.028146
262_vs_263,81.478837,0.125794,0.029338
263_vs_264,87.813730,0.122774,0.027617
264_vs_265,82.366415,0.106674,0.030640
265_vs_266,88.166998,0.101894,0.031261
266_vs_267,82.644739,0.085148,0.030140
267_vs_268,62.835891,0.056777,0.022396
268_vs_269,46.195276,0.031893,0.016254
269_vs_270,37.774727,0.020964,0.013184
270_vs_271,34.163401,0.017310,0.010904
271_vs_272,27.757119,0.016032,0.009040
272_vs_273,24.618953,0.018196,0.009812
273_vs_274,16.970511,0.017795,0.009390
274_vs_275,14.926812,0.018039,0.009351
275_vs_276,26.339802,0.029287,0.013615
276_vs_277,30.078698,0.027353,0.013028
277_vs_278,40.894975,0.034640,0.016534
278_vs_279,74.010734,0.059228,0.023249
279_vs_280,98.825864,0.063993,0.027538
280_vs_281,118.571672,0.070625,0.029671
281_vs_282,130.601979,0.082575,0.034195
282_vs_283,103.650569,0.074695,0.031651
283_vs_284,87.581037,0.064687,0.028691
